FacilityID,CampsiteName,CampsiteLongitude,CampsiteLatitude
10060971,Dutch Oven Group Campsite,-109.802718,38.145292
266144,Group Site Datura A,-109.514211,38.581527
10064530,8,-92.248491,36.372103
10064546,1,-93.101861,36.680686
10064579,1,-92.283286,36.545043
10064643,1,-118.018386,48.69991
10064687,1,-118.144152,48.287744
10064730,1,-118.228501,48.125988
10064768,1,-118.175152,47.895344
232038,3,-121.915793,48.901605
251939,13,-88.505736,45.703629
251946,34,-79.441259,41.480125
251959,11,-79.257553,41.542322
232145,3,-108.538892,37.517941
10067302,1,-92.629121,36.443604
10067336,Heritage AM,-79.51201,40.71286
10068459,Site 1,-114.726618,36.140315
10068512,CC Site 01,-114.687358,35.494339
10068584,1,-94.007319,33.783877
259307,Pebble Creek site #1,-110.11398,44.917093
259310,Slough Creek site #1,-110.305698,44.948784
10075391,1,-84.140512,34.739626
10075403,Esker Stream Cabin,-139.774634,59.879754
10075409,1,-95.563148,36.070946
10075441,1D - 21D,-80.039766,36.806766
247571,Mammoth site #1,-110.693475,44.973281
10077451,1,-120.763931,38.942933
10077501,Unit 1 Shelter,-105.66416,35.830355
253918,10,-113.302928,46.1982
252970,6,-77.74834,39.42063
234674,G4,-68.309272,44.245279
234629,CHIEF COVE CABIN,-153.9021,57.70794
232279,1,-116.45055,32.888961
10082227,McFadden Cove 1,-96.933493,36.701132
10082283,Site 1,-114.874565,36.128445
251973,Gull Point,-86.696806,46.553431
233409,S2,-86.437601,37.631152
233774,70,-88.986801,45.938894
10085599,1,-113.643944,37.377819
10085626,Site 1,-114.325135,36.031236
10086072,44969,36.928375,-86.029326
10086109,1,-113.793284,36.949961
233587,Paradise,-119.349816,45.933459
251535,16,-109.805912,38.142691
232597,Heber Springs Shelter AM,-92.075914,35.502803
232569,Spillway Falls Shelter,-87.872187,32.511017
254086,7,-91.525202,41.7224
254084,23,-90.809754,37.1503
233360,1,-114.902249,48.03217
10092282,Site 1,-99.553655,36.543624
10075120,Site 1,-114.802095,36.036064
254085,39,-91.557074,41.759013
10094038,Large Pavilion,-116.348055,46.502222
10086085,44938,-80.677456,38.668069
234120,023A,-100.301309,41.90064
254082,15,-105.139594,37.312742
254080,5,-105.142936,37.325583
233542,20,-93.46882,38.269623
249995,32,-111.589037,46.523244
10098538,1 Day Use,-115.855233,48.267604
10098548,Big Acres 1 (292),-89.793535,34.401371
10098551,Cypress Pt (246),-89.807701,34.40065
10098553,Engineer Pt (100),-89.784481,34.396535
10098555,Paradise Pt 1 (412),-89.79848,34.403628
10098558,Riverside (410),-89.791778,34.400151
10098560,Picnic Shelter 595,-89.907069,34.157566
258830,4,-110.641908,43.909492
254079,9,-91.529734,41.721837
258831,406,-110.643038,43.905459
247661,1,-110.665087,43.616859
10099358,Picnic Shelter 625,-89.896646,34.159676
247664,1,-110.721327,43.754259
247785,1,-110.687974,44.00558
10099484,Picnic Shelter 620,-89.898693,34.159176
10099489,Picnic Shelter565,-89.908501,34.150924
247663,1,-110.612717,43.842247
10099575,1,-110.635695,43.904605
254081,4,-91.527093,41.724088
10101311,Belmont Park Shelter,-87.880678,32.554883
10101313,Finches Ferry Shelter,-87.835339,32.842577
10101315,Lock 6 Shelter,-87.790599,32.709734
10101317,Lock 8 Shelter,-87.780664,32.895272
10101319,Hilltop Shelter,-87.420521,33.273526
10101322,Spillway Falls Shelter,-87.886899,32.520408
10101324,1,-120.714055,48.348504
10101333,1,-120.654415,48.307874
10101344,1,-120.657925,48.313304
10101351,Pavilion 502,-89.777559,33.830438
10101354,Main Beach Pavilion,-89.764097,33.801626
10101356,Pavilion 470,-89.777485,33.806516
10101360,Pavilion 550,-89.773472,33.809619
10101362,1,-114.239648,39.016722
10101374,1,-114.249081,39.013026
10101398,Cayuse Shelter,-121.933261,47.143821
232511,43,-97.238117,31.596422
254094,32,-122.005437,43.750555
234465,1,-115.299547,48.488653
10103087,PAV 1,-93.192091,34.568949
10103089,PAV 1,-93.214607,34.570359
10103111,Meadow Peak Lookout,-114.989084,48.079656
10103157,Island Creek Day Use Picnic Shelter,-78.468231,36.549782
10103159,Ivy Hill Day Use Picnic Shelter,-78.417038,36.575477
10103189,Palmer Point Shelter,-78.288897,36.56204
10103191,Tailrace Park Picnic Shelter,-78.299233,36.601808
251911,Juniper Group Campsite,-121.149852,44.492305
255124,14,-88.980409,45.990459
255120,8,-89.010332,46.008751
255121,15,-88.962135,45.902761
10107303,Anderson Shelter,-85.200283,32.936933
10107305,Glass Bridge,-85.172567,33.002283
10107307,R Shaefer Heard Group Shelter #1,-85.163333,32.922033
10107310,Sunny Point Shelter,-85.06355,33.094033
10107342,1,-95.452232,37.294418
258832,101,-110.667814,44.105138
10107534,Grassy Creek Day Use Picnic Shelter,-78.596446,36.537828
10107666,1,-111.218977,34.564566
255122,2,-88.562352,45.883334
255123,11,-89.11086,45.812964
10113966,Campsite,-91.053715,41.347496
255119,20,-122.024409,41.245219
10119398,Site 001,-122.76073,43.37964
10119467,Picnic Shelter 660,-89.826405,34.162615
10119469,Picnic Shelter 665,-89.789249,34.126939
10119471,Picnic Shelter 583,-89.906566,34.137622
10119477,Picnic Shelter 637,-89.887317,34.164776
10119479,Picnic Shelter 613,-89.764494,34.141655
10119481,1,-95.486169,35.946692
10119505,HÅlua 1,-156.218382,20.739709
233466,55,-96.922166,36.785553
233553,B23,-80.988326,41.012059
10120780,Picnic Shelter 154,-89.709808,34.427285
10120783,Pavilion 500,-89.778373,33.842874
10120785,Hurricane (405),-89.585486,34.493938
10120787,Pats Bluff (136),-89.735758,34.419017
10120789,PAVILION  1,-93.265696,34.580644
10120791,PAVILION  1,-93.346535,34.542327
10120794,PAVILION  1,-93.191197,34.570504
10120796,PAVILION  1,-93.4708,34.56858
10122572,River - 761,-90.128834,34.759963
10122575,South Abutment - 734,-90.128027,34.749679
10122577,Bayou Point 710,-90.119862,34.738707
10122580,Dub Patton - 729,-90.113001,34.77297
10122583,1,-80.573586,38.634153
10122661,1,-106.130957,39.725476
255135,16,-122.177289,44.706152
10122722,1,-78.599103,41.561053
10122789,1,-106.326667,39.875278
10122832,Sollers Cabin,-110.707,32.408
10122834,1,-106.308813,39.8885
255136,1,-113.566978,43.472628
10124956,A1,-92.781438,35.130365
258825,1,-111.822538,36.039964
10125059,1,-106.233256,39.84475
255134,16A,-99.43748,44.041561
275085,1,-118.145919,48.297061
275082,1,-118.152302,48.56066
275028,1,-118.123702,48.71646
274993,1,-118.059169,48.668144
275091,1,-118.325302,47.815527
275092,1,-118.582352,47.920242
275029,1,-118.116436,48.677827
274908,1,-118.001036,48.786694
275027,1,-118.059852,48.733294
10128465,Big Hurricane - Site 1,-85.782,36.021
233236,2,-118.232663,44.96459
274471,Site #1,-74.964695,41.115275
10130532,1,-98.20364,29.87311
234062,68,-118.302987,47.909964
10132083,Steliko Lookout,-120.344191,47.740345
10132085,Tyee Lookout,-120.471649,47.864122
10132176,1,-122.673901,43.87433
10132301,Shelter 1,-80.0872,41.691015
10134047,1,-110.680723,45.044532
233165,Jack Pine Cabin,-90.394605,48.038098
232868,H,-121.769132,45.113697
255177,8,-93.957387,35.690772
255176,Liberty PM ,-79.517763,40.705624
232109,22,-111.699054,40.572925
255202,Constitution AM,-79.504468,40.716247
255205,T3,-123.490699,44.324613
10137699,1D,-121.147674,39.397864
10145499,1,-81.705845,34.448097
10145521,1,-81.450273,34.699219
10145539,Upper East Branch,-68.79791,46.113811
10145639,Poulous Group Campground,-81.454297,34.749403
10145689,Site 01- Group,-81.738219,34.630756
10149034,The Bayberry Dunes Beachview House,-72.990031,40.690069
232169,15,-115.604698,44.0797
233643,111,-99.580135,36.528564
10150477,Ramp Shelter,-84.853681,30.743826
10150481,Faceville Shelter,-84.665784,30.787755
10150483,Hales Landing Shelter,-84.661542,30.847136
10150485,Rays Lake Shelter,-84.850689,30.836656
231993,144,-82.735667,35.286389
15045,A-1,-111.853544,43.961886
10156120,Lost Horse Cabin,-112.438189,46.760065
10156125,Site 1,-84.07545,34.76171
10156151,Host Site 15,-49,42
234037,B42,-81.738844,36.138489
10158169,1,-96.923813,36.694571
258617,A-1,-83.63237,36.603622
233642,225,-91.560747,41.762341
234049,1,-96.959963,34.50098
10158631,Klondike Pavilion,-79.356186,39.796597
10158808,Site 1,-109.693572,40.181967
